"filename", "language", "Markdown", "JSON", "Go Module File", "Go", "Go Checksum File", "comment", "blank", "total"
"c:\Users\Chrigeeel\matura-blockchain\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 2, 3
"c:\Users\Chrigeeel\matura-blockchain\chain.json", "JSON", 0, 63, 0, 0, 0, 0, 1, 64
"c:\Users\Chrigeeel\matura-blockchain\config.json", "JSON", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Chrigeeel\matura-blockchain\core\block.go", "Go", 0, 0, 0, 100, 0, 0, 23, 123
"c:\Users\Chrigeeel\matura-blockchain\core\chain.go", "Go", 0, 0, 0, 142, 0, 16, 32, 190
"c:\Users\Chrigeeel\matura-blockchain\core\coin.go", "Go", 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\Chrigeeel\matura-blockchain\core\core.go", "Go", 0, 0, 0, 2, 0, 0, 2, 4
"c:\Users\Chrigeeel\matura-blockchain\core\hash.go", "Go", 0, 0, 0, 68, 0, 0, 19, 87
"c:\Users\Chrigeeel\matura-blockchain\core\keys.go", "Go", 0, 0, 0, 154, 0, 0, 40, 194
"c:\Users\Chrigeeel\matura-blockchain\core\mine.go", "Go", 0, 0, 0, 50, 0, 0, 7, 57
"c:\Users\Chrigeeel\matura-blockchain\core\network.go", "Go", 0, 0, 0, 140, 0, 0, 34, 174
"c:\Users\Chrigeeel\matura-blockchain\core\transaction.go", "Go", 0, 0, 0, 73, 0, 0, 19, 92
"c:\Users\Chrigeeel\matura-blockchain\go.mod", "Go Module File", 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\Chrigeeel\matura-blockchain\go.sum", "Go Checksum File", 0, 0, 0, 0, 39, 0, 1, 40
"c:\Users\Chrigeeel\matura-blockchain\main.go", "Go", 0, 0, 0, 25, 0, 0, 8, 33
"c:\Users\Chrigeeel\matura-blockchain\peers.json", "JSON", 0, 1, 0, 0, 0, 0, 1, 2
"Total", "-", 1, 67, 17, 760, 39, 16, 195, 1095